Topic,Count,Name,0,1,2,3,4,5,6,7,8,9
130,81,130_veuve_part_demi_veuf,veuve,part,demi,veuf,remettre,rétablir,impôt,calcul,revenu,genopi
131,80,131_entrepreneur_risque_dividende_sarl,entrepreneur,risque,dividende,sarl,gérant,société,xad,petit,patron,paysagiste
132,80,132_ct_falloir_travail_aller,ct,falloir,travail,aller,chômeur,travailler,faire,enfant,chômage,vignette
133,80,133_illisble_ix_bq_⑨s,illisble,ix,bq,⑨s,²x,illisubl,illsibil,ok,dollar,1rue
134,80,134_animal_élevage_chasse_abattoir,animal,élevage,chasse,abattoir,cirque,maltraitance,corrida,chien,abattage,interdire
135,79,135_onglet_dépose_informé_proposition,onglet,dépose,informé,proposition,75020,souhaiter,approfondi,coordonnée,indique,dysfonctionnement
136,78,136_médecin_patient_médecine_spécialiste,médecin,patient,médecine,spécialiste,médical,généraliste,rendez,santé,vous,traitant
137,78,137_satisfaction_référent_rencontrer_difficulté,satisfaction,référent,rencontrer,difficulté,administration,recruter,cherche,handicap,référant,point
138,77,138_consulat_attestation_cotiser_ignominie,consulat,attestation,cotiser,ignominie,étranger,certificat,arriver,souche,désendettement,versement
139,77,139_chauffage_environnement_oui_comportement,chauffage,environnement,oui,comportement,changer,inciter,mode,protéger,supportable,penser
140,76,140_réponse_compétitif_écologique_transition,réponse,compétitif,écologique,transition,concurrent,environnement,dégrader,climat,biodiversité,européen
141,76,141_préfet_porter_certifier_attestation,préfet,porter,certifier,attestation,numéro,expression,délégation,43,lancer,préfectur
142,76,142_cahier_citoyen_st_boulou,cahier,citoyen,st,boulou,24480,proville,gaphique,pisany,familiere,terscou
143,74,143_traité_pétition_page_article,traité,pétition,page,article,constitution,rôle,identifiant,titre,opinion,contentieux
144,74,144_cannabis_canna_légaliser_légalisation,cannabis,canna,légaliser,légalisation,bistrot,alcool,prohibition,tabac,consommateur,cbn
145,73,145_alternatif_mobilité_déplacement_essence,alternatif,mobilité,déplacement,essence,vélo,solution,recourir,covoiturage,utilisateur,partage
146,73,146_2019_01_2018_12,2019,01,2018,12,08,07,06,09,03,02
147,73,147_image___,image,,,,,,,,,
148,72,148_indépendance_cliniquement_média_anti,indépendance,cliniquement,média,anti,liberté,préventive,branche,curatif,déséquilibré,thérapie
149,71,149_arrondissement_dysfonctionnement_indique_approfondi,arrondissement,dysfonctionnement,indique,approfondi,souhaiter,coordonnée,ordre,analyse,laisse,priorité
150,70,150_service_maintient_public_identité,service,maintient,public,identité,maintien,proximité,passeport,lisarre,manque,carte
151,70,151_culture_mobilité_embauche_succession,culture,mobilité,embauche,succession,promulgation,inclusion,quorum,réévaluation,essai,quotient
152,69,152_institution_million_2nd_perceptible,institution,million,2nd,perceptible,asile,citoyenneté,laïcité,tour,défiance,stabilité
153,68,153_alternatif_déplacement_mobilité_solution,alternatif,déplacement,mobilité,solution,essence,covoiturage,vélo,recourir,utilisateur,utiliser
154,67,154_abrogation_châteal_redonner_garantir,abrogation,châteal,redonner,garantir,mard,surfacturation,loi,protection,accouchant,primauté
155,67,155_immigration_migrant_nationalité_français,immigration,migrant,nationalité,français,sug,étranger,sol,immigré,expulsion,loi
156,66,156_actualité_avenue_tél_retrouver,actualité,avenue,tél,retrouver,amand,eau,rue,eal,33320,adresse
157,66,157_mourir_euthanasie_légalisation_actif,mourir,euthanasie,légalisation,actif,ifop,létal,sondage,décéder,intégrer,réanimation
158,66,158_éventuel_rencontre_biocarburant_ticpe,éventuel,rencontre,biocarburant,ticpe,manifestant,précité,bicaméral,viser,sondage,schiste
159,66,159_rajout_rayer_cachet_clôture,rajout,rayer,cachet,clôture,page,clore,comporte,contestation,vierge,légal
160,65,160_volaille_vaccin_conditionnement_éleveur,volaille,vaccin,conditionnement,éleveur,avicole,millier,élevage,aviculture,amateur,pétition
161,65,161_toucher_irfm_élu_cotisation,toucher,irfm,élu,cotisation,lambda,salarié,démissionner,écrêtement,moyenne,euro
162,64,162_rebâtir_accepter_penser_peur,rebâtir,accepter,penser,peur,légitime,orientation,agresse,ample,accusation,clarification
163,64,163_initiative_etape_article_référendum,initiative,etape,article,référendum,ratification,constitution,référendaire,pétition,voie,souveraineté
164,64,164_tableau_texte_cahier_,tableau,texte,cahier,,,,,,,
165,64,165_température_climat_chaude_emballement,température,climat,chaude,emballement,tragique,alarmant,juridiquement,irréversible,signataire,serre
166,63,166_dividende_sarl_gérant_majoritaire,dividende,sarl,gérant,majoritaire,cotisation,cahuzac,sas,littéralement,insoutenable,soumettre
167,63,167_administration_transparent_identifier_compétence,administration,transparent,identifier,compétence,différenciation,fragiliser,adaptation,complexe,relation,émerger
168,63,168_giberville_scanner_feuillet_poster,giberville,scanner,feuillet,poster,gibervill,esplanade,synthèse,municipalité,transmettre,texte
169,62,169_asile_délivrer_progresser_intégration,asile,délivrer,progresser,intégration,séjour,migratoire,histoire,immigration,décroître,16e
170,62,170_amand_les_saint_eaux,amand,les,saint,eaux,renvoyer,contact,mail,déposer,eal,tél
171,62,171_agent_chose_démarche_effectuer,agent,chose,démarche,effectuer,accomplissement,prise,itinérant,service,polyvalent,public
172,62,172_génome_semencière_nanoparticule_fongicide,génome,semencière,nanoparticule,fongicide,antibiotique,trust,traçabilité,bayer,écosystème,phytosanitaire
173,61,173_laïcité_gauche_tradition_principe,laïcité,gauche,tradition,principe,figurer,68,droite,tour,associatif,extrême
174,61,174_électronique_contenu_concitoyen_recueillir,électronique,contenu,concitoyen,recueillir,méthodologique,0800,familier,244,pluralisme,kit
175,61,175_formulaire_https_départemental_departemental,formulaire,https,départemental,departemental,reunion,réunion,departement974,déclinaison,détailler,site
176,60,176_redistribution_allocation_déficit_prestation,redistribution,allocation,déficit,prestation,dépense,adulte,maladie,darnetal,dire,euro
177,60,177_signature_pri_renseigner_nom,signature,pri,renseigner,nom,document,connaissance,transmettre,information,responsable,adresse
178,60,178_préalablement_message_rédaction_renseigner,préalablement,message,rédaction,renseigner,observation,coordonnée,préfecture,transmettre,déposer,cahier
179,60,179_tableau_satisfaction_mentionner_évènement,tableau,satisfaction,mentionner,évènement,difficulté,ci,dessous,indiquer,élément,rencontrer
180,60,180_million_sdi_acheminer_collégien,million,sdi,acheminer,collégien,inspection,lycéen,incendie,apprenti,diagnostic,secours
181,59,181_anti_préventive_cliniquement_indépendance,anti,préventive,cliniquement,indépendance,curatif,déséquilibré,thérapie,restructurer,terroir,liberté
182,59,182_donnée_recueil_montivillier_cadre,donnée,recueil,montivillier,cadre,fiche,exposé,ville,achever,cocher,organisateur
183,58,183_mourir_légalisation_actif_intégrer,mourir,légalisation,actif,intégrer,euthanasie,palliatif,ouvrir,respectueux,appartenir,létal
184,58,184_dividende_sarl_cotisation_cahuzac,dividende,sarl,cotisation,cahuzac,soumettre,littéralement,sas,poumon,investissant,confiscatoire
185,58,185_anonyme_constructif_pourquoi_adresser,anonyme,constructif,pourquoi,adresser,idée,cautionner,rédiger,docs,maule,edit
186,58,186_traiter_dampmart_amif_ordre,traiter,dampmart,amif,ordre,date,priorité,attention,habitant,problème,proposer
187,58,187_préfecture_sous_prefecture_tableau,préfecture,sous,prefecture,tableau,langon,février,bordereau,fev,dinan,envoi
188,57,188_chose_mauvais_agent_démarche,chose,mauvais,agent,démarche,prise,effectuer,accomplissement,bon,oui,itinérant
189,57,189_facultatif_cocher_thème_date,facultatif,cocher,thème,date,contribution,prénom,adresse,choisi,nom,prenom
190,57,190_élevé_pib_dépense_traité,élevé,pib,dépense,traité,financer,prestation,article,public,rem,euro
191,57,191_citoyenneté_transition_organisation_écologique,citoyenneté,transition,organisation,écologique,fiscalité,thème,démocratie,débat,dépense,public
192,56,192_retraité_retraite_petit_travailler,retraité,retraite,petit,travailler,falloir,augmenter,vivre,csg,revoir,mois
193,55,193_température_serre_chaude_climat,température,serre,chaude,climat,emballement,émission,tragique,alarmant,juridiquement,irréversible
194,55,194_améliorer_décentralisation_collectivité_défi,améliorer,décentralisation,collectivité,défi,faut,action,échelon,renforcer,local,niveau
195,55,195_fraternelle_annuité_antisocial_véritablement,fraternelle,annuité,antisocial,véritablement,punitif,efficacement,cadeau,détenir,digne,générer
196,55,196_français_impôt_fiscal_pays,français,impôt,fiscal,pays,payer,pourcent,revenu,taxe,moyen,contribuer
197,54,197_réponse_transition_écologique_compétitif,réponse,transition,écologique,compétitif,concurrent,biodiversité,climat,agricole,environnement,financement
198,54,198_questionnair_x92aide_xad_prive,questionnair,x92aide,xad,prive,mière,encou,rager,qué,criti,x92hui
199,54,199_réponse_démarche_vou_oui,réponse,démarche,vou,oui,tableau,agent,difficulté,satisfaction,erreur,service
200,54,200_organisation_exprimer_point_souhaiter,organisation,exprimer,point,souhaiter,état,service,public,réponse,paseo,image
201,54,201_cahuzac_littéralement_soumettre_poumon,cahuzac,littéralement,soumettre,poumon,étouffer,aberration,sarl,notr,gérant,cotisation
202,54,202_chauffage_oui_comportement_environnement,chauffage,oui,comportement,environnement,changer,inciter,mode,protéger,supportable,renoncer
203,54,203_assistant_formation_compétence_maternel,assistant,formation,compétence,maternel,mauricette,personnel,contrat,emploi,directeur,professionnel
204,53,204_réunion_participant_intervenant_thème,réunion,participant,intervenant,thème,débat,rendu,bonsoir,applaudissement,organiser,salle
205,53,205_vivre_survivre_caron_dolérant,vivre,survivre,caron,dolérant,vivvre,nînois,harchana,nousà,semigue,803
206,53,206_mourir_actif_létal_palliatif,mourir,actif,létal,palliatif,euthanasie,suicide,patient,assister,médecin,respectueux
207,53,207_mouvement_présidence_inédit_engendrer,mouvement,présidence,inédit,engendrer,excision,dignité,jaune,gilet,document,élémentaire
208,52,208_épandage_exaspération_absence_ressentir,épandage,exaspération,absence,ressentir,balancetonmair,gilet,jaune,relatif,discours,maire
209,52,209_administration_identifier_transparent_différenciation,administration,identifier,transparent,différenciation,compétence,fragiliser,débat,adaptation,éloigné,interroger
210,52,210_texte_paragraphe_couper_totalement,texte,paragraphe,couper,totalement,illlisbil,lisible,illisib,illisibe,haie,coupée
211,52,211_donnée_montivillier_recueil_cadre,donnée,montivillier,recueil,cadre,ville,exposé,cocher,achever,montivilliers,organisateur
212,52,212_ric_matière_matiere_reboll,ric,matière,matiere,reboll,mati7re,cruseille,illimiter,exige,regi,bisou
213,51,213_officiellement_thématique_retourner_solliciter,officiellement,thématique,retourner,solliciter,municipalité,charger,connaissance,engager,principal,thème
214,50,214_copain_pointage_réélu_cmu,copain,pointage,réélu,cmu,fantôme,planque,azimut,territoriale,planquer,supprimer
215,50,215_ore_chauffer_consommer_litre,ore,chauffer,consommer,litre,fossile,énergétique,facture,ménage,covoiturage,consacrer
216,50,216_destin_xad_réussir_nation,destin,xad,réussir,nation,interrogation,surmonter,insatisfaire,fraternel,financent,indépendamment
217,50,217_référendum_constitution_initiative_destituer,référendum,constitution,initiative,destituer,peuple,loi,modifier,constituer,législatif,politicien
218,50,218_euro_monsieur_mois_travailler,euro,monsieur,mois,travailler,retraite,percevoir,toucher,aller,président,épouse
219,49,219_bruz_entrée_accueil_tarauder,bruz,entrée,accueil,tarauder,encarter,contact,envoyé,général,message,négliger
220,49,220_monsieur_courrier_maire_préfet,monsieur,courrier,maire,préfet,professeur,débat,prier,réunion,madame,surendettement
221,49,221_cautionner_doléance_recueillir_rédiger,cautionner,doléance,recueillir,rédiger,dividende,risque,débattre,entrepreneur,contenu,indiquer
222,49,222_inflation_indexation_suppression_retraite,inflation,indexation,suppression,retraite,augmentation,privilège,sénateur,diminution,réduction,salaire
223,48,223_débat_désigner_caserne_impartialité,débat,désigner,caserne,impartialité,assurer,inédit,organisation,garant,attente,recueillir
224,48,224_peuple_supposer_définition_signification,peuple,supposer,définition,signification,démocratie,revendiquer,souveraineté,univoque,légitimer,communément
