Topic,Count,Name,0,1,2,3,4,5,6,7,8,9
140,74,140_eaux_amand_les_saint,eaux,amand,les,saint,contact,espérance,expéditeur,zimbra,févr,fr
141,74,141_image_visible__,image,visible,,,,,,,,
142,74,142_arrondissement_dysfonctionnement_indique_approfondi,arrondissement,dysfonctionnement,indique,approfondi,coordonnée,analyse,souhaiter,laisse,autour,postal
143,73,143_doléance_doleance_illlisible_doleanve,doléance,doleance,illlisible,doleanve,doelance,illisible,phrase,,,
144,73,144_désigner_débat_caserne_inédit,désigner,débat,caserne,inédit,impartialité,préfecture,préfet,garant,assurer,disposition
145,73,145_2019_01_2018_12,2019,01,2018,12,08,07,06,09,03,04
146,73,146_saint_patron_collectif_entrepreneur,saint,patron,collectif,entrepreneur,sarl,gérant,courroie,risque,développeur,paysagiste
147,72,147_entrepreneur_dividende_sarl_risque,entrepreneur,dividende,sarl,risque,gérant,plombier,développeur,jardinage,courroie,restaurateur
148,71,148_pohtiqu_français_référendum_démocratique,pohtiqu,français,référendum,démocratique,opinion,assemblée,politique,initiative,constitution,constitutionnel
149,70,149_patron_collectif_entrepreneur_risque,patron,collectif,entrepreneur,risque,développeur,chauffagiste,paysagiste,peintre,courroie,vitrier
150,70,150_expert_français_vif_semence,expert,français,vif,semence,prétexte,élu,dialogue,scrie,demander,phrase
151,69,151_survivre_vivre_pauvre_bannir,survivre,vivre,pauvre,bannir,pauvreté,caron,heureux,demain,continuez,vivvre
152,69,152_rajout_rayer_cachet_clôture,rajout,rayer,cachet,clôture,clore,comporte,contestation,page,vierge,républiqu
153,68,153_réunion_participant_intervenant_thème,réunion,participant,intervenant,thème,rendu,applaudissement,bonsoir,débat,salle,intervention
154,68,154_bonjour_joint_cordialement_réception,bonjour,joint,cordialement,réception,trouver,joindre,prier,feuillet,caderousse,pièce
155,68,155_etape_initiative_article_ratification,etape,initiative,article,ratification,référendum,référendaire,pétition,constitution,souveraineté,voie
156,67,156_alternatif_mobilité_déplacement_covoiturage,alternatif,mobilité,déplacement,covoiturage,vélo,essence,recourir,solution,utilisateur,auto
157,67,157_train_bus_transport_métro,train,bus,transport,métro,gare,trajet,parking,commun,tramway,ligne
158,67,158_citoyenneté_organisation_transition_thème,citoyenneté,organisation,transition,thème,écologique,fiscalité,démocratie,thematique,questionnaire,contribuer
159,67,159_rebâtir_accepter_agresse_ample,rebâtir,accepter,agresse,ample,accusation,peur,légitime,clarification,orientation,épuisement
160,67,160_pesticide_glyphosate_bio_herbicide,pesticide,glyphosate,bio,herbicide,interdiction,insecticide,agriculture,cantine,développer,protection
161,66,161_onglet_dépose_informé_75020,onglet,dépose,informé,75020,approfondi,indique,coordonnée,dysfonctionnement,proposition,20
162,66,162_éventuel_biocarburant_rencontre_ticpe,éventuel,biocarburant,rencontre,ticpe,manifestant,bicaméral,précité,schiste,prévisionnel,viser
163,64,163_inaliénable_policier_main_liberté,inaliénable,policier,main,liberté,respect,crevé,restauron,phytothérapie,abusif,concrétisation
164,64,164_tableau_texte_cahier_,tableau,texte,cahier,,,,,,,
165,64,165_amand_les_eaux_saint,amand,les,eaux,saint,renvoyer,eal,mail,contact,déposer,tél
166,64,166_actualité_avenue_tél_amand,actualité,avenue,tél,amand,eal,retrouver,33320,eau,zimbra,carme
167,64,167_recui_résiduel_revenu_profiter,recui,résiduel,revenu,profiter,propriétaire,allocation,payer,complémentaire,travailler,emploi
168,63,168_organisation_échelon_administratif_opérateur,organisation,échelon,administratif,opérateur,territorial,oui,évoluer,attacher,collectivité,pôle
169,63,169_vote_blanc_voter_obligatoire,vote,blanc,voter,obligatoire,falloir,coalition,élection,foyeux,avenai,bennefoy
170,63,170_sarl_gérant_dividende_majoritaire,sarl,gérant,dividende,majoritaire,cahuzac,sas,littéralement,cotisation,insoutenable,poumon
171,63,171_amif_dampmart_traiter_ordre,amif,dampmart,traiter,ordre,asso,date,priorité,gondoire,attention,habitant
172,62,172_violence_violent_police_force,violence,violent,police,force,expliquer,lamine,second,répressif,policier,acceptable
173,62,173_kilomètre_village_bus_rural,kilomètre,village,bus,rural,route,transport,racisme,ville,voiture,tbc
174,62,174_giberville_scanner_feuillet_gibervill,giberville,scanner,feuillet,gibervill,poster,esplanade,synthèse,municipalité,texte,transmettre
175,61,175_formulaire_https_departemental_reunion,formulaire,https,departemental,reunion,departement974,départemental,déclinaison,réunion,détailler,version
176,61,176_préalablement_message_rédaction_renseigner,préalablement,message,rédaction,renseigner,observation,coordonnée,13210,préfecture,déposer,transmettre
177,60,177_préfecture_sous_prefecture_tableau,préfecture,sous,prefecture,tableau,langon,dinan,pluduno,bordereau,fev,février
178,60,178_copain_réélu_pointage_fantôme,copain,réélu,pointage,fantôme,cmu,territoriale,azimut,ata,franchir,planquer
179,59,179_pri_signature_renseigner_document,pri,signature,renseigner,document,nom,connaissance,transmettre,dat,prenoms,tél
180,59,180_décentralisation_faut_défi_améliorer,décentralisation,faut,défi,améliorer,échelon,collectivité,action,renforcer,organiser,répondre
181,59,181_expulsion_violenter_charia_gouvernant,expulsion,violenter,charia,gouvernant,assimilation,haineux,débouter,prière,initiation,fiché
182,58,182_suppression_csg_retraité_augmentation,suppression,csg,retraité,augmentation,cam,hausse,esquert,chahine,revalorisation,mrap
183,58,183_chauffage_comportement_inciter_environnement,chauffage,comportement,inciter,environnement,changer,oui,mode,supportable,protéger,renoncer
184,58,184_dividende_sarl_cahuzac_littéralement,dividende,sarl,cahuzac,littéralement,sas,poumon,investissant,confiscatoire,notr,étouffer
